number_of_capital_letters,number_of_special_characters,number_of_whitespaces,average_lenght_of_words,number_of_keywords,real_class
0,0,0,0,0,o
0,2,0,3,0,o
4,1,10,6,0,o
0,1,1,2,0,o
10,7,6,13,0,j
4,6,5,17,0,j
4,3,2,23,0,o
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
1,4,10,4,0,o
0,1,1,2,0,o
2,3,4,4,1,j
0,0,2,5,0,j
0,1,0,1,0,o
0,0,0,0,0,o
0,2,0,3,0,o
7,3,9,6,0,o
0,4,9,4,0,o
0,1,1,2,0,o
5,3,4,10,0,j
1,0,2,10,0,j
0,1,0,1,0,o
0,0,0,0,0,o
0,2,0,3,0,o
8,3,10,6,0,o
0,4,10,4,0,o
0,1,1,2,0,o
6,3,4,11,0,j
1,0,2,9,0,j
0,1,0,1,0,o
0,0,0,0,0,o
0,2,0,3,0,o
4,3,9,7,0,o
0,4,10,5,0,o
0,1,1,2,0,o
5,3,4,10,0,j
1,0,2,9,0,j
0,1,0,1,0,o
0,0,0,0,0,o
0,2,0,3,0,o
4,3,9,6,0,o
0,4,10,5,0,o
0,1,1,2,0,o
5,3,4,10,0,j
1,0,2,9,0,j
0,1,0,1,0,o
0,0,0,0,0,o
0,2,0,3,0,o
4,3,9,6,0,o
0,4,10,5,0,o
0,1,1,2,0,o
5,3,4,10,0,j
1,0,2,10,0,j
0,1,0,1,0,o
0,0,0,0,0,o
0,2,0,3,0,o
4,3,9,6,0,o
0,4,10,5,0,o
0,1,1,2,0,o
5,3,4,10,0,j
1,0,2,10,0,j
0,1,0,1,0,o
0,0,0,0,0,o
0,2,0,3,0,o
4,5,12,6,0,o
0,1,1,2,0,o
4,6,4,9,0,j
3,2,2,16,0,j
0,1,0,1,0,o
0,0,0,0,0,o
0,0,0,0,0,o
0,2,0,3,0,o
1,3,16,5,0,o
1,3,8,6,0,o
0,3,11,5,0,o
0,1,1,2,0,o
1,0,1,5,0,j
6,3,5,9,0,j
2,3,4,6,1,j
5,3,4,18,0,j
6,3,4,18,0,j
5,3,4,16,0,j
5,3,4,17,0,j
5,3,4,18,0,j
5,3,4,18,0,j
7,3,4,18,0,j
0,0,0,0,0,o
3,3,4,8,0,j
1,8,5,10,0,o
0,1,0,1,0,o
0,0,0,0,0,o
5,3,5,8,1,j
0,7,9,3,0,j
18,1,4,16,1,j
0,0,6,5,0,j
0,1,0,1,0,o
0,4,6,3,0,j
0,0,2,5,0,j
0,1,0,1,0,o
0,1,2,2,0,j
0,4,8,4,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
0,2,0,3,0,o
1,1,16,4,0,o
0,1,14,5,0,o
4,3,16,4,0,o
0,2,11,5,0,o
0,3,14,4,0,o
0,1,1,2,0,o
1,0,1,5,0,j
8,3,5,12,0,j
7,3,4,18,0,j
6,3,4,16,0,j
6,3,4,16,0,j
6,3,4,17,0,j
6,3,4,17,0,j
0,0,0,0,0,o
0,13,21,3,0,j
5,5,3,10,0,j
5,3,3,14,0,j
0,7,9,3,0,j
0,0,2,4,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,1,2,2,0,j
0,0,2,4,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,0,0,0,0,o
6,3,4,17,0,j
0,5,5,3,0,j
0,0,2,4,0,j
0,1,0,1,0,o
0,0,0,0,0,o
7,3,4,17,0,j
0,5,5,3,0,j
0,0,2,4,0,j
0,1,0,1,0,o
0,0,0,0,0,o
3,3,4,9,0,j
1,8,6,9,0,j
0,1,0,1,0,o
0,0,0,0,0,o
0,2,0,3,0,o
5,1,9,7,0,o
8,1,9,5,0,o
0,1,1,2,0,o
12,3,5,17,0,j
31,3,4,16,1,j
4,5,3,10,1,j
5,7,6,8,0,j
3,7,3,13,0,j
4,2,3,12,0,j
0,1,0,1,0,o
0,1,0,1,0,o
0,1,0,1,0,o
0,0,2,4,0,j
0,1,0,1,0,o
0,0,0,0,0,o
0,2,0,3,0,o
1,3,17,4,0,o
2,3,11,4,0,o
5,6,9,8,0,o
0,1,6,5,0,o
0,1,1,2,0,o
1,0,1,5,0,j
7,4,7,8,0,j
4,6,5,13,0,j
0,4,5,2,0,j
0,0,2,4,0,j
0,1,0,1,0,o
4,6,4,15,0,j
0,4,5,2,0,j
0,0,2,4,0,j
0,1,0,1,0,o
4,6,4,15,0,j
0,4,5,2,0,j
0,0,2,4,0,j
0,1,0,1,0,o
4,6,4,15,0,j
0,4,5,2,0,j
0,0,2,4,0,j
0,1,0,1,0,o
4,6,4,15,0,j
0,4,5,2,0,j
0,0,2,4,0,j
0,1,0,1,0,o
4,6,4,15,0,j
0,4,5,2,0,j
0,0,2,4,0,j
0,1,0,1,0,o
5,4,4,16,0,j
0,4,5,2,0,j
0,0,2,4,0,j
0,1,0,1,0,o
0,0,2,3,0,j
0,1,0,1,0,o
0,0,0,0,0,o
1,0,1,5,0,j
1,3,5,5,1,j
0,5,5,2,0,j
0,0,2,4,0,j
0,1,0,1,0,o
3,5,5,7,0,j
0,0,2,4,0,j
0,1,0,1,0,o
7,3,5,9,0,j
3,5,3,17,0,j
3,4,2,19,0,j
3,4,2,19,0,j
3,4,2,19,0,j
3,4,2,20,0,j
3,4,2,20,0,j
5,3,1,34,0,j
0,1,0,1,0,o
0,0,0,0,0,o
1,0,1,5,0,j
1,3,4,4,0,j
2,4,9,7,0,j
4,4,4,13,0,j
4,4,4,13,0,j
5,5,3,18,0,j
0,1,0,1,0,o
0,0,0,0,0,o
1,0,1,5,0,j
2,3,4,4,1,j
4,4,5,7,1,j
1,2,1,20,0,j
2,5,3,9,0,j
1,6,1,29,0,j
0,1,0,1,0,o
2,5,3,9,0,j
1,6,1,28,0,j
